City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Port Alfred,-33.5906,26.891,53.44,47,1,10.29,ZA,1627177551
Butaritari,3.0707,172.7902,83.95,72,13,12.24,KI,1627177535
Hilo,19.7297,-155.09,80.33,85,90,8.05,US,1627177580
Severo-Kuril'sk,50.6789,156.125,57.61,89,98,2.15,RU,1627177581
Bengkulu,-3.8004,102.2655,81.73,67,1,1.21,ID,1627177581
Saskylakh,71.9167,114.0833,69.98,58,99,6.15,RU,1627177582
Kismayo,-0.3582,42.5454,76.19,76,69,21.12,SO,1627177582
San Jose,37.3394,-121.895,92.71,47,40,11.5,US,1627177208
Kumul,42.8,93.45,93.81,14,89,9.84,CN,1627177582
Dawlatabad,36.4141,64.9053,88.11,13,0,8.61,AF,1627177583
Dubna,56.7333,37.1667,56.28,61,100,2.48,RU,1627177583
George Town,5.4112,100.3354,84.88,86,20,3.0,MY,1627177364
Vao,-22.6667,167.4833,72.14,81,14,8.32,NC,1627177391
Jamestown,42.097,-79.2353,72.99,85,1,8.01,US,1627177420
Norman Wells,65.282,-126.8329,69.84,35,75,10.36,CA,1627177584
Ushuaia,-54.8,-68.3,37.06,87,75,4.61,AR,1627177503
Kita,13.0349,-9.4895,73.47,91,63,4.0,ML,1627177585
Iqaluit,63.7506,-68.5145,44.33,87,75,8.05,CA,1627177585
Hong Kong,22.2855,114.1577,89.33,83,50,1.01,HK,1627177585
Luoyang,34.6836,112.4536,83.86,71,1,1.14,CN,1627177359
Ostrovnoy,68.0531,39.5131,45.55,88,100,22.53,RU,1627177586
Frutal,-20.0247,-48.9406,64.99,42,0,7.27,BR,1627177587
Tiksi,71.6872,128.8694,44.73,76,87,5.26,RU,1627177587
Liepāja,56.5419,21.0367,57.25,87,9,4.61,LV,1627177527
Sola,-13.8833,167.55,80.51,75,40,9.57,VU,1627177588
Bluff,-46.6,168.3333,50.81,69,100,9.57,NZ,1627177588
Rikitea,-23.1203,-134.9692,69.37,55,0,1.03,PF,1627177589
Fort Nelson,58.8053,-122.7002,72.99,35,40,12.66,CA,1627177589
Mahébourg,-20.4081,57.7,70.09,78,40,8.05,MU,1627177589
Saint George,37.1041,-113.5841,86.32,53,1,1.01,US,1627177590
Pisco,-13.7,-76.2167,62.65,77,40,12.66,PE,1627177538
Airai,-8.9266,125.4092,75.49,22,14,3.27,TL,1627177590
Nikolskoye,59.7035,30.7861,57.79,56,100,4.97,RU,1627177591
La Asuncion,11.0333,-63.8628,69.53,100,100,10.36,VE,1627177495
Ancud,-41.8697,-73.8203,36.93,81,100,3.09,CL,1627177591
Gwadar,25.1216,62.3254,82.29,82,46,9.55,PK,1627177592
Caravelas,-17.7125,-39.2481,68.41,67,3,5.77,BR,1627177592
Prince Rupert,54.3161,-130.3201,60.89,79,90,3.44,CA,1627177516
Marataizes,-21.0433,-40.8244,65.88,77,0,9.42,BR,1627177593
Anloga,5.7947,0.8973,75.42,79,89,11.3,GH,1627177371
Mataura,-46.1927,168.8643,50.49,78,92,4.32,NZ,1627177593
Belaya Gora,68.5333,146.4167,59.94,45,100,15.46,RU,1627177594
Assiniboia,49.6334,-105.9845,82.31,18,0,8.05,CA,1627177594
Albany,42.6001,-73.9662,72.25,67,100,1.01,US,1627177563
Padang,-0.9492,100.3543,82.45,65,51,0.58,ID,1627177595
Pevek,69.7008,170.3133,37.62,85,48,16.8,RU,1627177595
Hermanus,-34.4187,19.2345,50.9,51,100,5.37,ZA,1627177596
La Merced,5.4019,-75.8847,57.06,99,100,1.16,CO,1627177596
Tuktoyaktuk,69.4541,-133.0374,64.4,45,75,17.27,CA,1627177596
Los Llanos de Aridane,28.6585,-17.9182,69.12,72,40,12.66,ES,1627177590
Rawson,-43.3002,-65.1023,46.31,46,100,18.19,AR,1627177420
Vaini,-21.2,-175.2,80.76,83,20,8.05,TO,1627177597
Brae,60.3964,-1.353,55.31,82,99,4.81,GB,1627177598
Faanui,-16.4833,-151.75,78.76,67,19,10.45,PF,1627177598
Bethel,41.3712,-73.414,73.02,77,97,5.95,US,1627177598
Namatanai,-3.6667,152.4333,84.94,68,9,2.37,PG,1627177599
Cape Town,-33.9258,18.4232,53.11,81,100,2.3,ZA,1627177354
Punta Arenas,-53.15,-70.9167,39.31,81,75,14.97,CL,1627177599
Basirpur,30.5832,73.829,93.42,51,16,7.11,PK,1627177600
Swellendam,-34.0226,20.4417,39.58,35,27,4.72,ZA,1627177600
Bambous Virieux,-20.3428,57.7575,70.05,78,40,8.05,MU,1627177600
Urusha,54.05,122.9,63.45,89,100,3.49,RU,1627177601
Chara,56.9064,118.2631,60.69,80,100,3.85,RU,1627177601
Petropavlovsk-Kamchatskiy,53.0452,158.6483,70.39,68,20,11.18,RU,1627177601
Melilla,35.2937,-2.9383,82.78,24,0,12.66,ES,1627177602
Sandwick,60.0,-1.25,55.22,94,90,5.75,GB,1627177602
Barrow,71.2906,-156.7887,42.82,81,90,5.75,US,1627177504
Kapaa,22.0752,-159.319,85.98,79,90,5.01,US,1627177603
Hobart,-42.8794,147.3294,47.26,65,40,5.99,AU,1627177603
Yellowknife,62.456,-114.3525,57.72,44,40,6.91,CA,1627177516
Vestmannaeyjar,63.4427,-20.2734,51.13,81,54,11.81,IS,1627177604
Lebu,-37.6167,-73.65,50.94,85,96,23.55,CL,1627177604
Hithadhoo,-0.6,73.0833,81.84,77,88,10.2,MV,1627177604
Sibolga,1.7427,98.7792,83.21,65,82,0.25,ID,1627177456
Saint Paul Harbor,57.79,-152.4072,56.71,82,75,8.05,US,1627177527
Kayan,16.9056,96.5631,78.94,82,99,9.53,MM,1627177605
Alta Floresta,-9.8756,-56.0861,73.4,46,32,3.38,BR,1627177606
Portoferraio,42.8115,10.3146,78.17,81,14,22.1,IT,1627177606
Luchegorsk,46.4764,134.2569,89.55,46,100,8.21,RU,1627177606
Vila Franca do Campo,37.7167,-25.4333,72.01,91,63,6.89,PT,1627177607
Lábrea,-7.2586,-64.7981,80.85,58,92,2.26,BR,1627177607
Kitimat,54.0524,-128.6534,66.9,67,100,4.0,CA,1627177607
Lugovoy,42.9472,72.7644,84.29,21,0,3.42,KZ,1627177608
Atambua,-9.1061,124.8925,82.8,36,13,3.06,ID,1627177608
Bandarbeyla,9.4942,50.8122,79.99,59,33,24.05,SO,1627177609
Makubetsu,45.3714,141.8211,85.71,66,20,13.8,JP,1627177609
Luige,59.327,24.7752,55.96,82,0,2.3,EE,1627177609
Mīnāb,27.1467,57.0801,83.7,58,80,4.45,IR,1627177610
Humaitá,-7.5061,-63.0208,80.53,58,100,2.21,BR,1627177611
Upernavik,72.7868,-56.1549,39.4,85,6,3.11,GL,1627177611
Podgornoye,51.735,39.1496,53.82,87,0,0.0,RU,1627177612
Lebedinyy,58.5167,125.5167,63.61,76,100,7.02,RU,1627177612
Mount Gambier,-37.8333,140.7667,49.91,81,75,10.36,AU,1627177524
Mayumba,-3.432,10.6554,69.46,90,96,1.57,GA,1627177613
Ahipara,-35.1667,173.1667,59.45,78,100,16.2,NZ,1627177613
Tautira,-17.7333,-149.15,75.22,76,47,5.48,PF,1627177614
Tocopilla,-22.092,-70.1979,63.23,65,24,12.84,CL,1627177614
Guiratinga,-16.3494,-53.7583,67.64,48,0,3.96,BR,1627177614
Cayenne,4.9333,-52.3333,80.1,85,20,0.0,GF,1627177615
Mount Isa,-20.7333,139.5,67.77,22,8,12.66,AU,1627177615
Borogontsy,62.6683,131.1683,76.62,43,7,7.29,RU,1627177615
Tasiilaq,65.6145,-37.6368,42.96,97,100,2.86,GL,1627177316
Puerto Ayora,-0.7393,-90.3518,72.55,84,6,7.0,EC,1627177616
Port Hedland,-20.3167,118.5667,77.05,23,56,14.97,AU,1627177547
São João da Barra,-21.6403,-41.0511,68.97,72,0,12.5,BR,1627177617
Isangel,-19.55,169.2667,86.11,70,75,5.75,VU,1627177617
East London,-33.0153,27.9116,51.39,55,0,9.19,ZA,1627177618
Saint-Augustin,51.226,-58.6502,52.83,81,30,6.71,CA,1627177618
Shelburne,44.0787,-80.2041,68.79,100,79,18.03,CA,1627177618
Leningradskiy,69.3833,178.4167,36.61,96,100,6.78,RU,1627177619
Codrington,-38.2667,141.9667,48.22,80,100,17.74,AU,1627177619
Narsaq,60.9167,-46.05,44.82,91,94,4.21,GL,1627177620
Zaprudnya,56.5667,37.4333,57.83,57,100,1.63,RU,1627177620
Lorengau,-2.0226,147.2712,84.85,66,26,5.12,PG,1627177334
Huilong,31.8111,121.655,79.03,93,100,39.64,CN,1627177621
Ribeira Brava,32.65,-17.0667,73.0,79,0,2.95,PT,1627177621
Lavrentiya,65.5833,-171.0,44.87,98,100,11.63,RU,1627177342
Kampot,10.6167,104.1833,80.65,80,100,12.19,KH,1627177622
Saldanha,-33.0117,17.9442,46.45,47,100,10.71,ZA,1627177622
Taoudenni,22.6783,-3.9836,96.24,8,5,12.17,ML,1627177623
Navrongo,10.8956,-1.0921,75.69,78,74,5.79,GH,1627177623
Rocha,-34.4833,-54.3333,58.8,74,100,11.05,UY,1627177412
New Norfolk,-42.7826,147.0587,46.92,63,72,11.86,AU,1627177624
Riyadh,24.6877,46.7219,89.74,24,0,2.33,SA,1627177542
Makakilo City,21.3469,-158.0858,89.92,60,40,14.97,US,1627177624
